Unnamed: 0,sexo,tipo_de_emprendimiento,idea_negocio,barrio,estrato,comuna_ciudadano,fecha_de_beneficio,monto_del_credito,línea_credito
56,femenino,industria,distribuidora-de-,castilla,2,5.0,11/09/2018,7800000.0,microempresarial
57,masculino,comercio,tienda,cabecera san cristobal,2,60.0,8/02/2018,7800000.0,microempresarial
58,masculino,servicio,tienda,santo domingo savio ,1,1.0,22/03/2018,3000000.0,microempresarial
59,femenino,industria,fabrica de ,robledo,2,7.0,30/05/2019,7000000.0,microempresarial
60,masculino,comercio,legumbreria,cabecera san antonio ,2,80.0,21/05/2018,3000000.0,microempresarial
61,femenino,comercio,almacen de ropa en ,calasanz,3,12.0,3/11/2016,4500000.0,microempresarial
62,masculino,industria,fabrica de ,moravia,1,4.0,4/05/2018,2500000.0,microempresarial
63,femenino,servicio,peluqueria,carpinelo,1,1.0,5/03/2018,5000000.0,microempresarial
64,femenino,agropecuaria,sembrados,santa elena central,2,90.0,2017/11/15,14000000.0,agropecuaria
65,femenino,comercio,bares,pedregal,3,6.0,2017/04/25,6894000.0,microempresarial
66,masculino,comercio,comidas rapidas,playon de los ,3,2.0,4/07/2018,7800000.0,microempresarial
67,femenino,industria,fabrica de ,robledo,1,7.0,1/04/2016,6890000.0,microempresarial
68,femenino,industria,taller de mecanica,belencito,2,13.0,24/01/2017,7377000.0,microempresarial
69,masculino,agropecuaria,sembrados,santa elena central,2,90.0,26/07/2017,10000000.0,agropecuaria
70,femenino,industria,fabrica de ,villa hermosa,3,8.0,2017/03/27,3500000.0,microempresarial
71,masculino,industria,comidas rapidas,santo domingo savio ,1,1.0,12/06/2017,7377000.0,microempresarial
72,masculino,industria,fabrica-de-alimentos,santo domingo savio ,1,1.0,28/07/2017,7300000.0,microempresarial
73,masculino,comercio,tienda,robledo,2,7.0,27/07/2017,7370000.0,microempresarial
74,femenino,industria,fabrica de ,la milagrosa,3,9.0,15/05/2019,7000000.0,microempresarial
75,femenino,comercio,almacen de ropa en ,trinidad,3,15.0,6/03/2018,5000000.0,microempresarial
76,masculino,servicio,mensajeria,castilla,3,5.0,23/01/2017,7370000.0,microempresarial
77,femenino,comercio,tienda de helados,robledo,2,7.0,5/09/2018,5000000.0,microempresarial
78,masculino,comercio,almacen de ropa en ,centro admtivo,2,10.0,2018/05/18,800000.0,microempresarial
79,femenino,comercio,fabrica-de-,robledo,2,7.0,25/10/2018,2000000.0,microempresarial
80,femenino,comercio,tienda,belen,3,16.0,21/03/2018,5000000.0,microempresarial
81,masculino,comercio,variedades,pedregal,3,6.0,6/02/2018,6400000.0,microempresarial
82,masculino,comercio,venta de calzado,santo domingo savio ,1,1.0,29/05/2018,7800000.0,microempresarial
83,femenino,comercio,restaurante,aranjuez,3,4.0,17/04/2017,6000000.0,microempresarial
84,femenino,servicio,restaurante,francisco antonio zea,3,5.0,31/05/2016,4000000.0,microempresarial
85,femenino,comercio,legumbreria,robledo,1,7.0,9/11/2017,4000000.0,microempresarial
86,femenino,comercio,peluqueria,guayabal,3,15.0,28/04/2017,3377000.0,microempresarial
87,masculino,servicio,fabrica de productos ,trinidad,3,15.0,16/06/2017,30000000.0,empresarial ed. 
89,femenino,comercio,almacen de ropa en ,juan xxiii la quiebra,2,13.0,30/04/2019,8281000.0,microempresarial
90,masculino,comercio,tienda de helados,san javier no.1,2,13.0,19/07/2016,27000000.0,empresarial ed. 
91,femenino,comercio,comidas rapidas,villa niza,2,2.0,11/04/2018,2000000.0,microempresarial
92,femenino,nan,comidas rapidas,buenos aires,2,9.0,9/04/2018,2000000.0,microempresarial
93,masculino,industria,fabrica de ,robledo,2,7.0,2018/10/11,7812420.0,microempresarial
94,femenino,servicio,fotografia,villa niza,2,2.0,19/01/2017,6000000.0,microempresarial
95,masculino,comercio,tienda,manrique central no. 1,2,4.0,11/05/2018,4000000.0,microempresarial
